구분,발전량(MWh),이용률(%)
고리2호기,2861348,47.9 
고리3호기,5801930,63.4 
고리4호기,6541235,71.5 
신고리1호기,7377798,80.7 
신고리2호기,7229539,79.0 
신고리3호기,6340766,48.7 
월성1호기,0,0.0 
월성2호기,4635316,83.3 
월성3호기,4280157,73.6 
월성4호기,4682551,83.1 
신월성1호기,7379097,80.4 
신월성2호기,7091934,77.2 
한빛1호기,5632043,62.4 
한빛2호기,4831020,53.7 
한빛3호기,3239001,35.6 
한빛4호기,0,0.0 
한빛5호기,7702107,83.7 
한빛6호기,8420004,91.5 
한울1호기,5811030,65.9 
한울2호기,5276852,59.5 
한울3호기,6195148,67.5 
한울4호기,7082802,76.8 
한울5호기,7346991,79.8 
한울6호기,7746593,84.2
